week,market,mascot,rank,prev_rank,wins,losses,points
W14,Virginia,Cavaliers,3,3,20,1,1478
W14,Gonzaga,Bulldogs,4,4,21,2,1423
W14,Kentucky,Wildcats,5,7,18,3,1310
W14,Nevada,Wolf Pack,6,8,21,1,1228
W14,Michigan,Wolverines,7,5,20,2,1217
W14,North Carolina,Tar Heels,8,9,17,4,1167
W14,Michigan State,Spartans,9,6,18,4,1051
W14,Marquette,Golden Eagles,10,10,19,3,1029
W14,Virginia Tech,Hokies,11,12,18,3,948
W14,Houston,Cougars,12,13,21,1,838
W14,Kansas,Jayhawks,13,11,17,5,809
W14,Villanova,Wildcats,14,14,18,4,801
W14,Purdue,Boilermakers,15,17,16,6,697
W14,Louisville,Cardinals,16,15,16,6,561
W14,Iowa State,Cyclones,17,20,17,5,545
W14,Texas Tech,Red Raiders,18,16,17,5,482
W14,Wisconsin,Badgers,19,24,16,6,462
W14,Iowa,Hawkeyes,20,,17,5,242
W14,LSU,Tigers,21,19,17,4,205
W14,Florida State,Seminoles,22,25,16,5,180
W14,Buffalo,Bulls,23,18,19,3,153
W14,Maryland,Terrapins,24,21,17,6,144
W14,Cincinnati,Bearcats,25,,19,3,142
W15,Tennessee,Volunteers,1,1,22,1,1573
W15,Duke,Blue Devils,2,2,21,2,1554
W15,Gonzaga,Bulldogs,3,4,23,2,1457
W15,Virginia,Cavaliers,4,3,20,2,1406
W15,Kentucky,Wildcats,5,5,20,3,1330
W15,Michigan,Wolverines,6,7,22,2,1253
W15,Nevada,Wolf Pack,7,6,23,1,1230
W15,North Carolina,Tar Heels,8,8,19,4,1178
W15,Houston,Cougars,9,12,23,1,1022
W15,Marquette,Golden Eagles,10,10,20,4,953
W15,Michigan State,Spartans,11,9,19,5,948
W15,Purdue,Boilermakers,12,15,17,6,900
W15,Villanova,Wildcats,13,14,19,5,753
W15,Kansas,Jayhawks,14,13,18,6,699
W15,Texas Tech,Red Raiders,15,18,19,5,660
W15,Louisville,Cardinals,16,16,17,7,542
W15,Florida State,Seminoles,17,22,18,5,455
W15,Kansas State,Wildcats,18,,18,5,444
W15,LSU,Tigers,19,21,19,4,437
W15,Wisconsin,Badgers,20,19,17,7,403
W15,Iowa,Hawkeyes,21,20,19,5,399
W15,Virginia Tech,Hokies,22,11,18,5,393
W15,Iowa State,Cyclones,23,17,18,6,280
W15,Maryland,Terrapins,24,24,18,6,196
W15,Buffalo,Bulls,25,23,20,3,170
W16,Duke,Blue Devils,1,2,23,2,1594
W16,Gonzaga,Bulldogs,2,3,25,2,1502
W16,Virginia,Cavaliers,3,4,22,2,1476
W16,Kentucky,Wildcats,4,5,21,4,1383
W16,Tennessee,Volunteers,5,1,23,2,1376
W16,Nevada,Wolf Pack,6,7,24,1,1240
W16,Michigan,Wolverines,7,6,23,3,1150
W16,North Carolina,Tar Heels,8,8,20,5,1129
W16,Houston,Cougars,9,9,25,1,1085
W16,Michigan State,Spartans,10,11,21,5,1046
W16,Marquette,Golden Eagles,11,10,21,4,987
W16,Kansas,Jayhawks,12,14,20,6,801
W16,LSU,Tigers,13,19,21,4,773
W16,Texas Tech,Red Raiders,14,15,21,5,733
W16,Purdue,Boilermakers,15,12,18,7,699
W16,Florida State,Seminoles,16,17,20,5,525
W16,Villanova,Wildcats,17,13,20,6,519
W16,Louisville,Cardinals,18,16,18,8,507
W16,Iowa State,Cyclones,19,23,19,6,426
W16,Virginia Tech,Hokies,20,22,20,5,408
W16,Iowa,Hawkeyes,21,21,20,5,389
W16,Wisconsin,Badgers,22,20,17,8,250
W16,Kansas State,Wildcats,23,18,19,6,249
W16,Maryland,Terrapins,24,24,19,7,211
W16,Buffalo,Bulls,25,25,22,3,164
W17,Gonzaga,Bulldogs,1,2,27,2,1569
W17,Virginia,Cavaliers,2,3,24,2,1513
W17,Duke,Blue Devils,3,1,24,3,1502
W17,Kentucky,Wildcats,4,4,23,4,1418
W17,North Carolina,Tar Heels,5,8,22,5,1326
W17,Michigan State,Spartans,6,10,23,5,1232
W17,Tennessee,Volunteers,7,5,24,3,1190
W17,Houston,Cougars,8,9,26,1,1145
W17,Michigan,Wolverines,9,7,24,4,1057
W17,Marquette,Golden Eagles,10,11,23,4,1019
W17,Texas Tech,Red Raiders,11,14,22,5,938
W17,Nevada,Wolf Pack,12,6,25,2,883
W17,LSU,Tigers,13,13,22,5,836
W17,Purdue,Boilermakers,14,15,20,7,820
W17,Kansas,Jayhawks,15,12,20,7,580
W17,Kansas State,Wildcats,16,23,21,6,559
W17,Maryland,Terrapins,17,24,21,7,549
W17,Florida State,Seminoles,18,16,21,6,501
W17,Wisconsin,Badgers,19,22,19,8,466
W17,Virginia Tech,Hokies,20,20,21,6,392
W17,Buffalo,Bulls,21,25,24,3,288
W17,Iowa,Hawkeyes,22,21,21,6,278
W17,Cincinnati,Bearcats,23,,23,4,263
W17,Wofford,Terriers,24,,24,4,112
W17,Washington,Huskies,25,,22,5,92
W18,Gonzaga,Bulldogs,1,1,29,2,1578
W18,Virginia,Cavaliers,2,2,26,2,1553
W18,North Carolina,Tar Heels,3,5,24,5,1428
W18,Duke,Blue Devils,4,3,25,4,1399
W18,Tennessee,Volunteers,5,7,26,3,1366
W18,Kentucky,Wildcats,6,4,24,5,1274
W18,Michigan,Wolverines,7,9,26,4,1216
W18,Texas Tech,Red Raiders,8,11,24,5,1100
W18,Michigan State,Spartans,9,6,23,6,1039
W18,LSU,Tigers,10,13,24,5,1005
W18,Purdue,Boilermakers,11,14,22,7,999
W18,Houston,Cougars,12,8,27,2,895
W18,Kansas,Jayhawks,13,15,22,7,798
W18,Florida State,Seminoles,14,18,23,6,702
W18,Virginia Tech,Hokies,15,20,22,6,668
W18,Marquette,Golden Eagles,16,10,23,6,626
W18,Nevada,Wolf Pack,17,12,26,3,579
W18,Kansas State,Wildcats,18,16,22,7,499
W18,Buffalo,Bulls,19,21,26,3,437
W18,Cincinnati,Bearcats,20,23,25,4,408
W18,Wisconsin,Badgers,21,19,20,9,322
W18,Wofford,Terriers,22,24,26,4,269
W18,Villanova,Wildcats,23,,22,8,214
W18,Maryland,Terrapins,24,17,21,9,207
W18,UCF,Knights,25,,22,6,48
W19,Gonzaga,Bulldogs,1,1,29,2,1572
W19,Virginia,Cavaliers,2,2,28,2,1559
W19,North Carolina,Tar Heels,3,3,26,5,1474
W19,Kentucky,Wildcats,4,6,26,5,1373
W19,Duke,Blue Devils,5,4,26,5,1298
W19,Michigan State,Spartans,6,9,25,6,1226
W19,Texas Tech,Red Raiders,7,8,26,5,1211
W19,Tennessee,Volunteers,8,5,27,4,1200
W19,LSU,Tigers,9,10,26,5,1089
W19,Michigan,Wolverines,10,7,26,5,1041
W19,Houston,Cougars,11,12,29,2,963
W19,Florida State,Seminoles,12,14,25,6,856
W19,Purdue,Boilermakers,13,11,23,8,831
W19,Nevada,Wolf Pack,14,17,28,3,684
W19,Kansas State,Wildcats,15,18,24,7,680
W19,Virginia Tech,Hokies,16,15,23,7,625
W19,Kansas,Jayhawks,17,13,23,8,602
W19,Buffalo,Bulls,18,19,28,3,539
W19,Wisconsin,Badgers,19,21,22,9,466
W19,Wofford,Terriers,20,22,28,4,387
W19,Maryland,Terrapins,21,24,22,9,319
W19,Auburn,Tigers,22,,22,9,268
W19,Marquette,Golden Eagles,23,16,23,8,109
W19,Cincinnati,Bearcats,24,20,25,6,108
W19,Villanova,Wildcats,25,23,22,9,80
